127.0.0.1 - - [17/Apr/2019:17:53:42 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [17/Apr/2019:17:53:43 +0900] "GET /ecsite/ HTTP/1.1" 200 5194
0:0:0:0:0:0:0:1 - - [17/Apr/2019:17:53:43 +0900] "GET /ecsite/css/home_style.css HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [17/Apr/2019:17:53:43 +0900] "GET /ecsite/img/1.jpg HTTP/1.1" 200 16594
0:0:0:0:0:0:0:1 - - [17/Apr/2019:17:53:43 +0900] "GET /ecsite/img/2.jpg HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [17/Apr/2019:17:53:43 +0900] "GET /ecsite/img/3.jpg HTTP/1.1" 200 23353
0:0:0:0:0:0:0:1 - - [17/Apr/2019:17:53:46 +0900] "GET /ecsite/ContactAction.action;jsessionid=6B424B6EFD3F2A85745941B53486A98D HTTP/1.1" 200 4338
0:0:0:0:0:0:0:1 - - [17/Apr/2019:17:53:46 +0900] "GET /ecsite/css/contact.css HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [17/Apr/2019:17:53:48 +0900] "POST /ecsite/InquiryCompleteAction.action HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [17/Apr/2019:17:53:48 +0900] "GET /ecsite/css/style.css HTTP/1.1" 404 1059
