127.0.0.1 - - [25/Apr/2019:10:26:57 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:26:58 +0900] "GET /ecsite/ HTTP/1.1" 200 5194
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:26:58 +0900] "GET /ecsite/css/home_style.css HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:26:58 +0900] "GET /ecsite/img/1.jpg HTTP/1.1" 200 16594
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:26:58 +0900] "GET /ecsite/img/2.jpg HTTP/1.1" 200 11926
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:26:58 +0900] "GET /ecsite/img/3.jpg HTTP/1.1" 200 23353
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:29:31 +0900] "POST /ecsite/HomeAction.action;jsessionid=A4FDE3B72460969D9E6D769491EB0570 HTTP/1.1" 200 4468
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:29:41 +0900] "POST /ecsite/LoginAction.action HTTP/1.1" 200 9567
0:0:0:0:0:0:0:1 - - [25/Apr/2019:10:30:37 +0900] "POST /ecsite/LoginAction.action HTTP/1.1" 200 9567
